性别,年龄,常住地,常住区域,常住地经济,物质条件,藏书总量,监护人学历,文化知识,道德品行,生活技能,是否单亲,监A：I/E,监A：F/T,监B：I/E,监B：F/T,第一学历,收入水平,生活满意度,人生意义,自我认可度,他人认可度,亲情满意度,友情满意度,爱情满意度,I/E,N/S,F/T,P/J
1,22,2,3,6,4,200,7,4,4,2,0,0,1,0,1,6,1,3,3,4,3,3,3,3,0,0,1,0
1,22,5,3,15,3,200,6,5,4,4,0,1,1,0,1,6,4,4,5,5,3,3,2,2,0,0,1,0
1,23,3,1,3,3,400,6,4,4,3,0,1,1,1,1,6,2,2,2,3,4,4,5,4,1,0,0,0
0,18,5,2,10,2,200,5,4,4,4,0,1,0,1,1,2,0.25,2,3,3,3,2,3,2,1,0,1,0
1,22,5,2,10,4,100,6,3,5,3,0,1,0,0,1,4,2,4,5,5,4,5,5,4,0,0,1,1
0,27,5,3,15,2,0,1,1,1,1,0,0,0,0,0,3,1,1,1,1,2,2,2,1,0,0,0,0
1,22,5,3,15,3,0,3,4,5,4,0,1,1,1,1,6,1,2,2,3,4,4,4,2,1,0,1,1
1,22,5,3,15,3,400,7,4,5,4,0,1,1,1,0,6,0.25,4,5,5,4,3,4,2,0,0,0,0
1,22,5,2,10,3,0,5,4,3,3,1,1,0,,,4,1,4,3,4,4,4,4,3,1,0,0,0
1,22,5,3,15,3,0,5,1,1,1,0,1,1,1,0,4,1,4,4,5,4,3,2,1,1,0,0,1
1,22,3,3,9,3,0,2,4,4,4,0,0,0,0,0,6,1,4,4,4,3,3,3,3,0,1,1,1
1,23,5,3,15,4,400,5,5,5,4,0,1,1,1,0,4,0.5,2,2,2,3,3,2,2,0,0,1,0
1,22,3,3,9,3,100,6,5,5,3,0,1,1,1,0,6,2,4,5,5,5,3,4,5,0,0,0,0
1,21,5,3,15,4,400,6,4,5,4,0,0,1,0,0,6,2,1,1,1,4,3,3,3,0,0,1,0
1,23,5,3,15,3,400,6,3,4,3,0,1,0,0,1,4,1,4,4,4,4,4,4,3,0,0,0,0
0,23,5,2,10,2,0,5,2,4,3,0,1,1,1,1,2,0.25,3,1,2,3,3,2,2,1,0,0,0
0,21,3,3,9,3,400,4,4,3,5,1,0,0,,,6,0.25,4,4,3,3,2,3,5,1,1,0,1
0,26,5,2,10,3,50,5,4,4,4,1,0,0,,,4,1,3,3,2,3,3,3,3,0,0,0,1
0,21,2,2,4,3,50,3,3,3,3,0,1,1,0,0,6,1,4,5,5,4,4,5,3,1,1,0,1
0,21,4,3,12,3,200,6,4,5,2,0,1,1,0,0,6,0.5,4,2,4,4,5,5,5,0,1,0,1
0,28,4,3,12,4,0,6,5,5,5,0,1,0,1,0,3,1,2,3,3,4,3,3,1,1,0,0,0
1,29,3,2,6,3,0,2,3,4,3,0,1,1,1,1,1,0.5,2,3,3,3,4,3,3,0,1,1,0
1,22,5,3,15,3,50,7,4,5,3,0,0,0,0,1,6,0.5,2,2,2,3,4,4,4,0,0,1,1
1,22,3,3,9,3,50,5,5,5,4,0,1,1,1,0,6,0.5,4,5,4,4,5,5,5,1,0,1,0
1,23,5,3,15,3,50,6,3,4,4,0,0,0,0,1,6,1,3,5,3,3,5,4,3,0,0,0,0
1,20,5,1,5,4,100,6,3,4,4,0,1,1,1,0,3,0.5,3,4,5,4,5,5,5,0,1,0,0
1,29,5,2,10,3,0,6,4,4,4,0,1,1,0,1,4,1,4,4,4,4,3,5,5,1,1,1,1
1,22,4,2,8,4,100,6,5,5,5,0,0,1,0,1,6,0.25,4,4,4,4,4,4,4,0,1,0,1
0,22,5,3,15,2,50,3,2,3,5,0,1,0,1,0,6,1,2,3,2,3,3,2,3,1,0,1,0
0,19,5,2,10,4,100,2,5,5,3,0,0,1,1,0,6,2,4,3,4,4,3,3,3,0,0,0,1
1,23,5,2,10,3,100,5,5,4,5,0,1,1,0,0,6,2,2,2,3,3,3,4,1,0,1,1,1
0,25,5,3,15,3,100,6,3,5,3,0,0,1,0,1,4,0.50 ,3,4,4,3,3,3,3,0,0,0,1
1,22,4,2,8,4,0,5,5,5,5,0,1,1,0,0,6,4,4,3,4,4,4,4,2,0,0,1,1
1,22,5,3,15,3,50,7,3,5,4,0,1,0,0,1,6,0.5,3,3,3,3,3,3,3,1,0,1,1
0,22,4,3,12,4,50,6,3,5,5,0,1,1,0,1,5,1,4,2,2,4,5,5,4,0,1,0,1
0,22,5,3,15,5,50,6,5,5,2,0,1,0,1,1,7,1,4,3,4,5,3,4,3,1,0,1,0
1,20,2,3,6,4,200,6,5,5,3,0,0,0,1,1,7,2,2,3,3,4,5,5,4,1,0,1,1
1,21,4,3,12,4,200,6,4,5,4,0,1,0,0,1,6,0.25,4,3,4,4,5,5,5,1,0,0,0
